Category & Name of the Shareholders,No. of shareholder,No. of fully paid up equity shares held,Total no. shares held,"Shareholding % calculated as per SCRR, 1957 As a % of (A+B+C2)",No. of Voting Rights,Total as a % of Total Voting right,No. of equity shares held in dematerialized form(Not Applicable),Script,ScriptCode,marketCap,No. of Shares Underlying Outstanding convertible securities (including Warrants),"Total shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)",No.(a),As a % of total Shares held(b),Partly paid-up equity shares held,Total as a % of (A+B+C),Amount Invested (in Cr),Total Investment by Shareholder
REKHA JHUNJHUNWALA,1,30739000,30739000.0,4.07,30739000.0,4.07,30739000.0,FORTIS,532843,47384.95,,,,,,,1928.567465,5591.67343
REKHA JHUNJHUNWALA,1,849559,849559.0,3.49,849559.0,3.49,849559.0,ATFL,500215,3028.19,,,,,,,105.683831,5591.67343
REKHA JHUNJHUNWALA,1,5020000,5020000.0,3.15,5020000.0,3.15,5020000.0,JUBLPHARMA,530019,14375.92,,,,0.0,,,452.84148,5591.67343
REKHA JHUNJHUNWALA,1,2520000,2520000.0,1.58,2520000.0,1.58,2520000.0,JUBLINGREA,543271,11007.12,,,,0.0,,,173.91249600000003,5591.67343
REKHA JHUNJHUNWALA,1,34530060,34530060.0,1.42,34530060.0,1.42,34530060.0,FEDERALBNK,500469,45951.46,,,,,,,652.510732,5591.67343
Rekha Jhunjhunwala,1,15000000,15000000.0,2.79,15000000.0,2.79,15000000.0,DBREALTY,533160,8171.21,,,,0.0,,,227.976759,5282.8783
Rekha Jhunjhunwala,1,10000000,10000000.0,1.86,10000000.0,1.86,10000000.0,DBREALTY,533160,8171.21,,,,0.0,,,151.984506,5282.8783
Rekha Jhunjhunwala,1,4500687,4500687.0,1.58,4500687.0,1.58,4500687.0,TATACOMM,500483,45869.33,,,,,,,724.7354140000001,5282.8783
Rekha Jhunjhunwala,1,9540575,9540575.0,1.07,9540575.0,1.08,9540575.0,TITAN,500114,280860.03,,,,,,,3005.2023210000007,5282.8783
Rekha Jhunjhunwala,1,14287765,14287765.0,1.0,14287765.0,1.0,14287765.0,INDHOTEL,500850,117297.93,,,,0.0,,,1172.9793,5282.8783
Akash Bhanshali,1,5605577,5605577.0,8.1,5605577.0,8.1,5605577.0,SUDARSCHEM,506655,7848.25,,7.98,,,,,635.70825,4660.252619
Akash Bhanshali,1,5219505,5219505.0,4.75,5219505.0,4.75,5219505.0,FLUOROCHEM,542812,43266.62,,,,,,,2055.16445,4660.252619
Akash Bhanshali,1,450382,450382.0,3.74,450382.0,3.74,450382.0,IWEL,543297,11488.38,,,,0.0,,,429.665412,4660.252619
Akash Bhanshali,1,3975150,3975150.0,2.94,3975150.0,2.94,3975150.0,PRAXIS,540901,210.85,,2.34,,0.0,,,6.198989999999999,4660.252619
Akash Bhanshali,1,3119945,3119945.0,2.45,3119945.0,2.45,3119945.0,GREENLAM,538979,7012.73,,,,,,,171.811885,4660.252619
Akash Bhanshali,1,5617582,5617582.0,2.35,5617582.0,2.35,5617582.0,SCHNEIDER,534139,16406.12,,,,,,,385.54382,4660.252619
Akash Bhanshali,1,3364376,3364376.0,1.28,3364376.0,1.28,3364376.0,WELCORP,532144,23074.94,,,,,,,295.359232,4660.252619
Akash Bhanshali,1,1829340,1829340.0,1.25,1829340.0,1.25,1829340.0,DBL,540047,6939.36,,1.13,,,,,86.742,4660.252619
Akash Bhanshali,1,7921162,7921162.0,1.24,7921162.0,1.24,7921162.0,PAYTM,543396,47907.95,,,,,,,594.0585799999999,4660.252619
REKHA RAKESH JHUNJHUNWALA,1,13051206,13051206.0,4.8,13051206.0,4.8,13051206.0,METROBRAND,543426,29218.43,,,,,,,1402.48464,4207.45392
REKHA RAKESH JHUNJHUNWALA,1,13051206,13051206.0,4.8,13051206.0,4.8,13051206.0,METROBRAND,543426,29218.43,,,,,,,1402.48464,4207.45392
REKHA RAKESH JHUNJHUNWALA,1,13051188,13051188.0,4.8,13051188.0,4.8,13051188.0,METROBRAND,543426,29218.43,,,,,,,1402.48464,4207.45392
Sri Harsha Majety,1,110257587,110257587.0,4.93,110257587.0,4.93,110257587.0,SWIGGY,544285,80006.88,,,110257587.0,100.0,,,3944.339184,3944.339184
MUKUL MAHAVIR AGRAWAL,1,2200000,2200000.0,10.1,2200000.0,10.1,2200000.0,SIYARAM,544047,298.51,,,2200000.0,100.0,,,30.14951,3210.229429
MUKUL MAHAVIR AGRAWAL,1,917500,917500.0,6.85,917500.0,6.85,917500.0,BELLACASA,539399,576.93,,,,,,,39.519705,3210.229429
MUKUL MAHAVIR AGRAWAL,1,762500,762500.0,6.48,762500.0,6.48,762500.0,ASMTEC,526433,1442.16,762500.0,10.56,,,,,93.45196800000002,3210.229429
MUKUL MAHAVIR AGRAWAL,1,5150000,5150000.0,6.09,5150000.0,6.09,5150000.0,CAPACITE,540710,2999.64,,,,0.0,,,182.678076,3210.229429
MUKUL MAHAVIR AGRAWAL,1,3400000,3400000.0,5.27,3400000.0,5.27,3400000.0,ORIRAIL,531859,1128.81,,5.07,,0.0,,,59.48828699999999,3210.229429
MUKUL MAHAVIR AGRAWAL,1,762457,762457.0,4.46,762457.0,4.46,762457.0,MPSLTD,532440,4844.28,,,,,,,216.054888,3210.229429
MUKUL MAHAVIR AGRAWAL,1,400000,400000.0,3.81,400000.0,3.81,400000.0,ARMANFIN,531179,1505.86,,,,0.0,,,57.373266,3210.229429
MUKUL MAHAVIR AGRAWAL,1,400000,400000.0,3.12,400000.0,3.12,400000.0,NEULANDLAB,524558,15162.88,,,,,,,473.081856,3210.229429
MUKUL MAHAVIR AGRAWAL,1,3000000,3000000.0,2.82,3000000.0,2.82,3000000.0,SURYODAY,543279,1138.31,,,,,,,32.100342,3210.229429
MUKUL MAHAVIR AGRAWAL,1,1975000,1975000.0,2.61,1975000.0,2.61,1975000.0,JKIL,532940,5131.26,,,,,,,133.925886,3210.229429
MUKUL MAHAVIR AGRAWAL,1,600000,600000.0,2.51,600000.0,2.51,600000.0,PPL,542684,1030.28,,,,,,,25.860028,3210.229429
MUKUL MAHAVIR AGRAWAL,1,1850000,1850000.0,2.19,1850000.0,2.19,1850000.0,SULA,543711,2412.43,,2.19,,,,,52.83221699999999,3210.229429
MUKUL MAHAVIR AGRAWAL,1,1000000,1000000.0,1.61,1000000.0,1.61,1000000.0,KRN,544263,5725.87,,,,0.0,,,92.186507,3210.229429
MUKUL MAHAVIR AGRAWAL,1,450000,450000.0,1.61,450000.0,1.61,450000.0,DREDGECORP,523618,1630.3,,,,,,,26.24783,3210.229429
MUKUL MAHAVIR AGRAWAL,1,800000,800000.0,1.6,800000.0,1.6,800000.0,VIDHIING,531717,2264.01,,,,,,,36.224160000000005,3210.229429
MUKUL MAHAVIR AGRAWAL,1,900000,900000.0,1.58,900000.0,1.58,900000.0,STANLEY,544202,1969.91,,,,0.0,,,31.124578000000003,3210.229429
MUKUL MAHAVIR AGRAWAL,1,712296,712296.0,1.55,712296.0,1.55,712296.0,RPEL,539837,2517.21,,,,,,,39.016755,3210.229429
MUKUL MAHAVIR AGRAWAL,1,442100,442100.0,1.47,442100.0,1.47,442100.0,LUXIND,539542,4325.51,,,,,,,63.584997,3210.229429
MUKUL MAHAVIR AGRAWAL,1,250000,250000.0,1.46,250000.0,1.46,250000.0,HIRECT,504036,1700.91,,,,,,,24.833286,3210.229429
MUKUL MAHAVIR AGRAWAL,1,2000000,2000000.0,1.44,2000000.0,1.44,2000000.0,INTELLECT,538835,9851.69,,,,,,,141.864336,3210.229429
MUKUL MAHAVIR AGRAWAL,1,1630147,1630147.0,1.42,1630147.0,1.42,1630147.0,ONESOURCE,544292,18887.67,,,,0.0,,,268.204914,3210.229429
MUKUL MAHAVIR AGRAWAL,1,300000,300000.0,1.23,300000.0,1.23,300000.0,ETHOSLTD,543532,6326.48,,,,,,,77.815704,3210.229429
MUKUL MAHAVIR AGRAWAL,1,2162162,2162162.0,1.21,2162162.0,1.21,2162162.0,RELTD,504341,2382.81,,,2162162.0,100.0,,,28.832001,3210.229429
MUKUL MAHAVIR AGRAWAL,1,1500000,1500000.0,1.19,1500000.0,1.19,1500000.0,DEEPAKFERT,500645,14423.93,,,,,,,171.644767,3210.229429
MUKUL MAHAVIR AGRAWAL,1,1066000,1066000.0,1.16,1066000.0,1.16,1066000.0,STAR,532531,6464.75,,,,0.0,,,74.99109999999999,3210.229429
MUKUL MAHAVIR AGRAWAL,1,4000000,4000000.0,1.15,4000000.0,1.15,4000000.0,LTFOODS,532783,13240.75,,,,,,,152.268625,3210.229429
MUKUL MAHAVIR AGRAWAL,1,450000,450000.0,1.11,450000.0,1.11,450000.0,CEATLTD,500878,11506.84,,,,,,,127.725924,3210.229429
MUKUL MAHAVIR AGRAWAL,1,599329,599329.0,1.11,599329.0,1.11,599329.0,IMFA,533047,3530.49,,,,,,,39.188439,3210.229429
MUKUL MAHAVIR AGRAWAL,1,1400083,1400083.0,1.05,1400083.0,1.05,1400083.0,RADICO,532497,30846.24,,,,,,,323.88552000000004,3210.229429
MUKUL MAHAVIR AGRAWAL,1,1800000,1800000.0,1.03,1800000.0,1.03,1800000.0,EIEL,544290,3809.88,,,1800000.0,100.0,,,39.241764,3210.229429
MUKUL MAHAVIR AGRAWAL,1,1100000,1100000.0,1.01,1100000.0,1.01,1100000.0,SURYAROSNI,500336,5428.93,,,,,,,54.832193,3210.229429
ESTATE OF LATE MR. RAKESH JHUNJHUNWALA,1,862200,862200.0,3.54,862200.0,3.54,862200.0,ATFL,500215,3028.19,,,,,,,107.197926,2412.487271
ESTATE OF LATE MR. RAKESH JHUNJHUNWALA,1,5224000,5224000.0,3.28,5224000.0,3.28,5224000.0,JUBLPHARMA,530019,14375.92,,,,0.0,,,471.5301759999999,2412.487271
ESTATE OF LATE MR. RAKESH JHUNJHUNWALA,1,1708388,1708388.0,1.53,1708388.0,1.55,1708388.0,ESCORTS,500495,36107.43,,,,0.0,,,552.4436790000001,2412.487271
ESTATE OF LATE MR. RAKESH JHUNJHUNWALA,1,128693000,128693000.0,1.42,128693000.0,1.42,128693000.0,CANBK,532483,79458.91,,,,,,,1128.316522,2412.487271
ESTATE OF LATE MR. RAKESH JHUNJHUNWALA,1,2215500,2215500.0,1.39,2215500.0,1.39,2215500.0,JUBLINGREA,543271,11007.12,,,,0.0,,,152.998968,2412.487271
ANIL HARIRAM HARIANI,1,4602195,4602195.0,3.06,4602195.0,3.06,4602195.0,POLYCAB,542652,75096.37,,,,,,,2297.948922,2297.948922
ASHISH DHAWAN,1,678189,678189.0,5.54,678189.0,5.54,678189.0,PALREDTEC,532521,61.05,,,,,,,3.38217,2235.348146
ASHISH DHAWAN,1,1234286,1234286.0,3.73,1234286.0,3.73,1234286.0,RPSGVENT,542333,2788.69,,,,0.0,,,104.018137,2235.348146
ASHISH DHAWAN,1,40370000,40370000.0,3.54,40370000.0,3.54,40370000.0,EQUITASBNK,543243,6506.33,,,,,,,230.324082,2235.348146
ASHISH DHAWAN,1,7605608,7605608.0,2.3,7605608.0,2.3,7605608.0,RELIGARE,532915,7846.93,,,,,,,180.47939,2235.348146
ASHISH DHAWAN,1,5300000,5300000.0,1.88,5300000.0,1.88,5300000.0,GLENMARK,532296,42651.33,,,,,,,801.8450039999999,2235.348146
ASHISH DHAWAN,1,86800000,86800000.0,1.19,86800000.0,1.19,86800000.0,IDFCFIRSTB,539437,41221.25,,,,0.0,,,490.532875,2235.348146
ASHISH DHAWAN,1,14600000,14600000.0,1.18,14600000.0,1.18,14600000.0,M&MFIN,532720,35997.16,,,,,,,424.766488,2235.348146
Anil Lall,1,3133487,3133487.0,2.42,3133487.0,2.42,3133487.0,NAUKRI,532777,89552.35,,,,,,,2167.16687,2167.16687
Mukul Mahavir Agrawal,1,277931,277931.0,8.92,277931.0,8.92,277931.0,TAALENT,539956,932.6,,,,,,,83.18792,2089.734894
Mukul Mahavir Agrawal,1,8617000,8617000.0,5.5,8617000.0,5.5,8617000.0,DCAL,540701,3550.35,,,,,,,195.26925,2089.734894
Mukul Mahavir Agrawal,1,7000000,7000000.0,4.76,7000000.0,4.76,7000000.0,ACLGATI,532345,864.43,,,,0.0,,,41.146868,2089.734894
Mukul Mahavir Agrawal,1,1121478,1121478.0,4.6,1121478.0,4.6,1121478.0,INFOBEAN,543644,767.98,,,,,,,35.32708,2089.734894
Mukul Mahavir Agrawal,1,2301369,2301369.0,3.93,2301369.0,3.93,2301369.0,AYMSYNTEX,508933,1214.73,,,2301369.0,100.0,,,47.738889,2089.734894
Mukul Mahavir Agrawal,1,1500000,1500000.0,3.41,1500000.0,3.41,1500000.0,APOLLOPIPE,531761,1607.1,,,,0.0,,,54.80210999999999,2089.734894
Mukul Mahavir Agrawal,1,1200000,1200000.0,2.61,1200000.0,2.61,1200000.0,PGIL,532808,5914.61,,2.57,,,,,154.371321,2089.734894
Mukul Mahavir Agrawal,1,300000,300000.0,2.48,300000.0,2.48,300000.0,KINGFA,524019,3329.53,,,,,,,82.572344,2089.734894
Mukul Mahavir Agrawal,1,3465000,3465000.0,2.46,3465000.0,2.46,3465000.0,PDSL,538730,6444.72,,,,,,,158.54011200000002,2089.734894
Mukul Mahavir Agrawal,1,759493,759493.0,1.93,759493.0,1.93,759493.0,AJMERA,513349,3795.01,,,759493.0,100.0,,,73.243693,2089.734894
Mukul Mahavir Agrawal,1,2000000,2000000.0,1.89,2000000.0,1.89,2000000.0,TRACXN,543638,618.36,,,,0.0,,,11.687004,2089.734894
Mukul Mahavir Agrawal,1,250000,250000.0,1.83,250000.0,1.83,250000.0,PIXTRANS,500333,2409.96,,,,,,,44.102268,2089.734894
Mukul Mahavir Agrawal,1,1000000,1000000.0,1.51,1000000.0,1.51,1000000.0,WSTCSTPAPR,500444,2858.27,,,,,,,43.159877,2089.734894
Mukul Mahavir Agrawal,1,500000,500000.0,1.39,500000.0,1.39,500000.0,NUVAMA,543988,22743.15,,,,0.0,,,316.129785,2089.734894
Mukul Mahavir Agrawal,1,800000,800000.0,1.31,800000.0,1.31,800000.0,RAYMONDLSL,544240,6599.86,,,,,,,86.458166,2089.734894
Mukul Mahavir Agrawal,1,700000,700000.0,1.3,700000.0,1.3,700000.0,QUICKHEAL,539678,1687.52,,,,,,,21.93776,2089.734894
Mukul Mahavir Agrawal,1,2500000,2500000.0,1.26,2500000.0,1.26,2500000.0,ICIL,521016,5394.01,,,,,,,67.964526,2089.734894
Mukul Mahavir Agrawal,1,2000000,2000000.0,1.22,2000000.0,1.22,2000000.0,KIRLFER,500245,8370.41,,,,,,,102.119002,2089.734894
Mukul Mahavir Agrawal,1,4176000,4176000.0,1.19,4176000.0,1.19,4176000.0,SARDAEN,504614,19141.36,,,,,,,227.782184,2089.734894
Mukul Mahavir Agrawal,1,160000,160000.0,1.07,160000.0,1.07,160000.0,PTCIL,539006,19733.57,,,,,,,211.149199,2089.734894
Mukul Mahavir Agrawal,1,10000000,10000000.0,1.02,10000000.0,1.02,10000000.0,ALLCARGO,532749,3043.68,,,,,,,31.045536,2089.734894
KAVITA YADUPATI SINGHANIA,1,3869650,3869650.0,5.01,3869650.0,5.01,3869650.0,JKCEMENT,532644,37277.29,,,,,,,1867.592229,1867.592229
Kishor Kumar Singh,1,3373312,3373312.0,2.82,3373312.0,2.82,3373312.0,ALKEM,539523,59426.2,,,,,,,1675.81884,1675.81884
AKASH BHANSHALI,1,4051910,4051910.0,2.24,4051910.0,2.24,4051910.0,RKFORGE,532527,15285.32,,,,0.0,,,342.39116800000005,1670.402141
AKASH BHANSHALI,1,1511083,1511083.0,1.55,1511083.0,1.55,1511083.0,SHILPAMED,530549,6656.14,,,,,,,103.17017,1670.402141
AKASH BHANSHALI,1,499602,499602.0,1.48,499602.0,1.48,499602.0,AMBER,540902,23303.72,,,,,,,344.895056,1670.402141
AKASH BHANSHALI,1,13856511,13856511.0,1.44,13856511.0,1.44,13856511.0,WELSPUNLIV,514162,13193.14,,,,,,,189.981216,1670.402141
AKASH BHANSHALI,1,7151700,7151700.0,1.33,7151700.0,1.33,7151700.0,LAURUSLABS,540222,32942.93,,,,,,,438.140969,1670.402141
AKASH BHANSHALI,1,3608418,3608418.0,1.19,3608418.0,1.19,3608418.0,GENUSPOWER,530343,8554.06,,,,,,,101.79331399999998,1670.402141
AKASH BHANSHALI,1,1800788,1800788.0,1.01,1800788.0,1.01,1800788.0,NATCOPHARM,524816,14854.48,,,,,,,150.030248,1670.402141
JHUNJHUNWALA REKHA RAKESH,1,3799000,3799000.0,5.19,3799000.0,5.19,3799000.0,CRISIL,500092,31087.94,,,,,,,1613.464086,1613.464086
Milan R Thakkar,1,20847326,20847326.0,18.96,20847326.0,18.96,20847326.0,ANURAS,543275,8470.76,,18.31,,0.0,,,1606.0560960000005,1606.0560960000005
Kalpraj Damji Dharamshi,1,6673420,6673420.0,2.32,6673420.0,2.32,6673420.0,WAAREEENER,544277,67649.45,,,6673420.0,100.0,,,1569.4672399999995,1569.4672399999995
ASHISH KACHOLIA,1,722345,722345.0,6.67,722345.0,6.67,722345.0,DHABRIYA,538715,403.04,,,,,,,26.882768,1462.613954
ASHISH KACHOLIA,1,1317554,1317554.0,5.42,1317554.0,5.42,1317554.0,FAZE3Q,530079,866.97,,,,,,,46.989774,1462.613954
ASHISH KACHOLIA,1,475394,475394.0,4.17,475394.0,4.17,475394.0,YASHO,541167,1971.43,,,,,,,82.20863100000001,1462.613954
ASHISH KACHOLIA,1,308000,308000.0,4.11,308000.0,4.11,308000.0,INFLAME,541083,150.56,,4.0,,0.0,,,6.188016000000001,1462.613954
ASHISH KACHOLIA,1,2753612,2753612.0,3.89,2753612.0,3.89,2753612.0,AWFIS,544181,4389.06,,,,0.0,,,170.73443400000002,1462.613954
ASHISH KACHOLIA,1,446289,446289.0,3.59,446289.0,3.59,446289.0,UNIAUTO,539314,86.48,,3.32,,,,,3.104632,1462.613954
ASHISH KACHOLIA,1,1000000,1000000.0,3.52,1000000.0,3.52,100000.0,CARYSIL,524091,1909.53,,,,,,,67.215456,1462.613954
ASHISH KACHOLIA,1,1478980,1478980.0,3.22,1478980.0,3.22,1478980.0,SHAILY,501423,8032.3,,,,,,,258.64006,1462.613954
ASHISH KACHOLIA,1,3135568,3135568.0,2.74,3135568.0,2.74,3135568.0,FCL,533333,2655.28,,2.61,,0.0,,,72.75467200000001,1462.613954
ASHISH KACHOLIA,1,288185,288185.0,2.67,288185.0,2.67,288185.0,ADVAIT,543230,1256.16,,2.67,288185.0,100.0,,,33.539472,1462.613954
ASHISH KACHOLIA,1,2903356,2903356.0,2.16,2903356.0,2.16,2903356.0,ZAGGLE,543985,4853.53,,,,0.0,,,104.836248,1462.613954
ASHISH KACHOLIA,1,2750000,2750000.0,2.02,2750000.0,2.02,2750000.0,NIITMTS,543952,5967.05,,,,,,,120.53441,1462.613954
ASHISH KACHOLIA,1,18000000,18000000.0,2.0,18000000.0,2.0,18000000.0,JYOTISTRUC,513250,2301.18,,2.0,18000000.0,100.0,,,46.0236,1462.613954
ASHISH KACHOLIA,1,129018,129018.0,1.87,129018.0,1.87,129018.0,BPLPHARMA,541096,715.73,,,,,,,13.384151,1462.613954
ASHISH KACHOLIA,1,900000,900000.0,1.84,900000.0,1.84,900000.0,SAFARI,523025,10093.85,,,,,,,185.72684,1462.613954
ASHISH KACHOLIA,1,576916,576916.0,1.75,576916.0,1.75,576916.0,STOVEKRAFT,543260,2611.67,,,,,,,45.70422500000001,1462.613954
ASHISH KACHOLIA,1,1890500,1890500.0,1.73,1890500.0,1.73,1890500.0,BALUFORGE,531112,6592.23,,1.56,,0.0,,,114.045579,1462.613954
ASHISH KACHOLIA,1,179838,179838.0,1.6,179838.0,1.6,179838.0,BCONCEPTS,543442,376.92,,,,,,,6.0307200000000005,1462.613954
ASHISH KACHOLIA,1,118229,118229.0,1.19,118229.0,1.19,118229.0,TANFACIND,506854,3063.02,,,,,,,36.449938,1462.613954
ASHISH KACHOLIA,1,638366,638366.0,1.14,638366.0,1.14,638366.0,SGFIN,539199,1896.52,,1.14,,0.0,,,21.620328,1462.613954
Nemish S Shah,1,579673,579673.0,5.43,579673.0,5.43,579673.0,LMW,500252,17276.01,,,,,,,938.0873429999998,1412.003073
Nemish S Shah,1,5360000,5360000.0,1.69,5360000.0,1.69,5360000.0,ELGIEQUIP,522074,15617.28,,,,,,,263.932032,1412.003073
Nemish S Shah,1,3363183,3363183.0,1.38,3363183.0,1.38,3363183.0,ASAHIINDIA,515030,15216.21,,,,,,,209.983698,1412.003073
Alok Kumar,1,4001000,4001000.0,6.68,4001000.0,6.68,4001000.0,SRUSTEELS,540914,36.56,,,,,,,2.442208,1375.1874279999995
Alok Kumar,1,2764719,2764719.0,2.31,2764719.0,2.31,2764719.0,ALKEM,539523,59426.2,,,,,,,1372.7452199999998,1375.1874279999995
Vijay Mohanlal Parekh,1,12296205,12296205.0,5.41,12296205.0,5.41,12296205.0,JYOTICNC,544081,25336.07,,,,0.0,,,1370.681387,1370.681387
Paresh Mohanlal Parekh,1,12296205,12296205.0,5.41,12296205.0,5.41,12296205.0,JYOTICNC,544081,25336.07,,,,0.0,,,1370.681387,1370.681387
Sunil Kant Munjal,1,14920918,14920918.0,3.38,14920918.0,3.38,14920918.0,TVSSCS,543965,6231.52,,,,0.0,,,210.625376,1364.7217999999998
Sunil Kant Munjal,1,67022052,67022052.0,2.34,67022052.0,2.34,67022052.0,NYKAA,543384,49320.36,,,,,,,1154.0964239999998,1364.7217999999998
SUDHIR MOOLA,1,14681679,14681679.0,3.26,14681679.0,3.26,14681679.0,PREMIERENE,544238,41257.12,,,14681679.0,100.0,,,1344.982112,1344.982112
Ashok Kumar,1,2688000,2688000.0,2.25,2688000.0,2.25,2688000.0,ALKEM,539523,59426.2,,,,,,,1337.0894999999998,1338.427403
Ashok Kumar,1,167571,167571.0,1.31,167571.0,1.31,167571.0,AAATECH,543671,102.13,,,,,,,1.337903,1338.427403
ABHISHEK SINGHANIA,1,2629995,2629995.0,3.4,2629995.0,3.4,2629995.0,JKCEMENT,532644,37277.29,,,,,,,1267.42786,1267.42786
Deepak Kumar Singh,1,2503283,2503283.0,2.09,2503283.0,2.09,2503283.0,ALKEM,539523,59426.2,,,,,,,1242.0075799999995,1242.0075799999995
Shridhar Bhalchandra Shukla,1,2202592,2202592.0,1.41,2202592.0,1.41,2202592.0,PERSISTENT,533179,82228.8,,,,,,,1159.42608,1159.42608
Manish Gupta,1,21474076,21474076.0,8.97,21474076.0,8.97,21474076.0,INDGN,544172,12683.74,,,,,,,1137.731478,1146.685378
Manish Gupta,1,2009820,2009820.0,4.25,2009820.0,4.25,,KIMIABL,530313,210.68,,,,,,,8.9539,1146.685378
Manish Jain,1,245248,245248.0,2.88,245248.0,2.88,245248.0,HESTERBIO,524669,1180.37,,,,,,,33.994656,1143.304611
Manish Jain,1,1711463,1711463.0,2.01,1711463.0,2.01,1711463.0,LINDEINDIA,523457,55189.55,,,,,,,1109.309955,1143.304611
GIAN PARKASH AGGARWAL,1,12391464,12391464.0,21.65,12391464.0,21.65,12391464.0,INNOVACAP,544067,5246.38,,,,0.0,,,1135.84127,1135.84127
ANIL KUMAR GOEL,1,6000000,6000000.0,9.04,6000000.0,9.04,6000000.0,DBOL,543593,454.69,,,,,,,41.103976,1090.182115
ANIL KUMAR GOEL,1,423000,423000.0,6.27,423000.0,6.27,423000.0,AMARJOTHI,521097,108.81,,,,,,,6.822386999999999,1090.182115
ANIL KUMAR GOEL,1,184100,184100.0,5.52,184100.0,5.52,184100.0,SLSTLQ,521161,12.46,,,,,,,0.6877920000000001,1090.182115
ANIL KUMAR GOEL,1,1000000,1000000.0,5.33,1000000.0,5.33,1000000.0,STHINPA,516108,145.29,,,,,,,7.743957,1090.182115
ANIL KUMAR GOEL,1,4149000,4149000.0,5.13,4149000.0,5.13,4149000.0,DALMIASUG,500097,2977.35,,,,,,,152.738055,1090.182115
ANIL KUMAR GOEL,1,1845000,1845000.0,5.12,1845000.0,5.12,1845000.0,NAHARSPING,500296,780.63,,,,,,,39.968256,1090.182115
ANIL KUMAR GOEL,1,151695,151695.0,4.75,151695.0,4.75,151695.0,VHL,500439,1059.99,,,,,,,50.349525,1090.182115
ANIL KUMAR GOEL,1,7740000,7740000.0,3.54,7740000.0,3.54,7740000.0,TRIVENI,532356,8783.28,,,,,,,310.92811200000006,1090.182115
ANIL KUMAR GOEL,1,2423000,2423000.0,3.37,2423000.0,3.37,2423000.0,GANESHBE,500153,846.96,,,,0.0,,,28.542552,1090.182115
ANIL KUMAR GOEL,1,6768000,6768000.0,2.96,6768000.0,2.96,6768000.0,KRBL,530813,6468.43,,,,,,,191.465528,1090.182115
ANIL KUMAR GOEL,1,3670000,3670000.0,2.89,3670000.0,2.89,3670000.0,SPORTKING,539221,1060.42,,,,,,,30.646138000000004,1090.182115
ANIL KUMAR GOEL,1,2350000,2350000.0,2.81,2350000.0,2.81,2350000.0,SARLAPOLY,526885,675.62,,,,,,,18.984922,1090.182115
ANIL KUMAR GOEL,1,293000,293000.0,2.79,293000.0,2.79,293000.0,DTIL,538902,192.5,,,,,,,5.37075,1090.182115
ANIL KUMAR GOEL,1,409000,409000.0,2.44,409000.0,2.44,409000.0,NAHARCAP,532952,403.33,,,,,,,9.841252,1090.182115
ANIL KUMAR GOEL,1,410000,410000.0,2.2,410000.0,2.2,410000.0,DCM,502820,184.82,,,,,,,4.06604,1090.182115
